Rank,saliency_score,OG
527,0.1116233766078949,COG1694
528,0.10276056081056595,COG1193
529,0.14105729758739471,2EJRA
530,0.10620328783988953,COG2146
531,0.08702719211578369,COG0008
532,0.06441034376621246,COG0252
533,0.08319693058729172,COG3212
534,0.07840374857187271,COG3718
535,0.05402681231498718,COG2103
536,0.06601659953594208,COG1139
537,0.062343016266822815,COG4767
538,0.0887356847524643,COG0334
539,0.09426300972700119,COG1320
540,0.09314247965812683,COG1387
541,0.08918021619319916,COG2426
542,0.09166765213012695,COG0820
543,0.09385006874799728,COG2898
544,0.09913595020771027,COG3689
545,0.09417571127414703,COG0682
546,0.14661988615989685,28NYH
547,0.09863138198852539,COG1363
548,0.09531544148921967,COG0004
549,0.12504200637340546,COG1842
550,0.1253689080476761,COG0030
551,0.08777962625026703,COG0251
552,0.1086234450340271,COG0351
553,0.09695960581302643,COG0206
554,0.09096605330705643,COG4844
555,0.1216902956366539,COG1488
556,0.08381573855876923,COG3860
557,0.07914729416370392,COG1475
558,0.08350113034248352,COG2003
559,0.075154609978199,COG3505
560,0.07445357739925385,COG0824
561,0.06227894127368927,COG1902
562,0.03347614035010338,COG0569
563,0.06320705264806747,COG2866
564,0.04364877939224243,COG0623
565,0.017619293183088303,COG1302
566,0.017566658556461334,COG2176
567,0.01093127392232418,COG1853
568,0.04963875934481621,COG0651
569,0.07788234949111938,COG0061
570,0.08546527475118637,COG1226
571,0.08006409555673599,COG0258
572,0.06900043785572052,COG0406
573,0.00043184071546420455,COG3331
574,0.0010943090310320258,COG5609
575,0.024745140224695206,COG1380
576,0.052206821739673615,COG1098
577,0.04824201762676239,COG1819
578,0.020564284175634384,2E3H2
579,0.016724448651075363,2DD0E
580,0.05343039706349373,2CQ1K
581,0.07193459570407867,COG1247
582,0.10810669511556625,COG1929
583,0.11445765197277069,COG1181
584,0.12058545649051666,COG1335
585,0.09885754436254501,COG5520
586,0.12435048818588257,COG4970
587,0.09947223216295242,COG0381
588,0.06191007047891617,COG1346
589,0.06804291903972626,COG1234
590,0.07192093878984451,COG0057
591,0.11481644958257675,COG0384
592,0.08030299097299576,COG1174
593,0.08732955157756805,COG3409
594,0.08360423147678375,COG1087
595,0.12156068533658981,COG1968
596,0.08201807737350464,COG0007
597,0.09660468995571136,COG0174
598,0.09677423536777496,COG1376
599,0.13196885585784912,COG0269
600,0.09448850899934769,COG0646
601,0.11622808873653412,COG2153
602,0.13531705737113953,2CABP
603,0.1329771876335144,COG2255
604,0.09534306824207306,COG0262
605,0.09360812604427338,COG3064
606,0.06045397371053696,COG2706
607,0.08321093767881393,2EEG7
608,0.0919751524925232,COG0597
609,0.08731087297201157,COG1233
610,0.08844839036464691,COG0629
611,0.09094204008579254,2AKDD
612,0.09750863909721375,COG1622
613,0.14287088811397552,COG1109
614,0.08014032244682312,COG1290
615,0.08063212037086487,COG1621
616,0.08748000115156174,COG1982
617,0.08117025345563889,COG0317
618,0.09981617331504822,COG0615
619,0.07731463015079498,COG2819
620,0.0550135113298893,COG1511
621,0.06796200573444366,COG2350
622,0.08323754370212555,COG4799
623,0.0742768794298172,COG1272
624,0.10333660244941711,COG2124
625,0.10147954523563385,COG0621
626,0.10453202575445175,COG3408
627,0.09966544061899185,COG0511
628,0.0733642578125,2DBJR
629,0.08482030034065247,COG2087
630,0.09580101072788239,COG0210
631,0.08860433101654053,COG1525
632,0.10827051848173141,COG0605
633,0.09790219366550446,COG0738
634,0.09920092672109604,COG2608
635,0.1042846292257309,COG0425
636,0.09887616336345673,COG0701
637,0.09808075428009033,COG0493
638,0.09838477522134781,COG0419
639,0.0714648962020874,COG0006
640,0.047741636633872986,COG0653
641,0.034117452800273895,COG4359
642,0.02884993515908718,COG0226
